０	名詞,数,*,*,*,*,０,ゼロ,ゼロ
年	名詞,接尾,助数詞,*,*,*,年,ネン,ネン
以内	名詞,非自立,副詞可能,*,*,*,以内,イナイ,イナイ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
７	名詞,数,*,*,*,*,７,ナナ,ナナ
０	名詞,数,*,*,*,*,０,ゼロ,ゼロ
％	名詞,接尾,助数詞,*,*,*,％,パーセント,パーセント
」	記号,括弧閉,*,*,*,*,」,」,」
「	記号,括弧開,*,*,*,*,「,「,「
都心	名詞,一般,*,*,*,*,都心,トシン,トシン
南部	名詞,一般,*,*,*,*,南部,ナンブ,ナンブ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
起きれ	動詞,自立,*,*,一段,仮定形,起きる,オキレ,オキレ
ば	助詞,接続助詞,*,*,*,*,ば,バ,バ
、	記号,読点,*,*,*,*,、,、,、
都心	名詞,一般,*,*,*,*,都心,トシン,トシン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
大半	名詞,一般,*,*,*,*,大半,タイハン,タイハン
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
震度	名詞,一般,*,*,*,*,震度,シンド,シンド
６	名詞,数,*,*,*,*,６,ロク,ロク
強	名詞,接尾,一般,*,*,*,強,キョウ,キョー
」	記号,括弧閉,*,*,*,*,」,」,」
と	助詞,格助詞,引用,*,*,*,と,ト,ト
想定	名詞,サ変接続,*,*,*,*,想定,ソウテイ,ソーテイ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
いる	動詞,非自立,*,*,一段,基本形,いる,イル,イル
が	助詞,接続助詞,*,*,*,*,が,ガ,ガ
、	記号,読点,*,*,*,*,、,、,、
都心	名詞,一般,*,*,*,*,都心,トシン,トシン
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ
離れ	動詞,自立,*,*,一段,連用形,離れる,ハナレ,ハナレ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
場所	名詞,一般,*,*,*,*,場所,バショ,バショ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
震源	名詞,一般,*,*,*,*,震源,シンゲン,シンゲン
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
なる	動詞,自立,*,*,五段・ラ行,基本形,なる,ナル,ナル
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
も	助詞,係助詞,*,*,*,*,も,モ,モ
考え	動詞,自立,*,*,一段,未然形,考える,カンガエ,カンガエ
られる	動詞,接尾,*,*,一段,基本形,られる,ラレル,ラレル
ため	名詞,非自立,副詞可能,*,*,*,ため,タメ,タメ
、	記号,読点,*,*,*,*,、,、,、
東京	名詞,固有名詞,地域,一般,*,*,東京,トウキョウ,トーキョー
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
同	接頭詞,名詞接続,*,*,*,*,同,ドウ,ドー
３	名詞,数,*,*,*,*,３,サン,サン
ポイント	名詞,接尾,助数詞,*,*,*,ポイント,ポイント,ポイント
増	名詞,接尾,一般,*,*,*,増,ゾウ,ゾー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
２	名詞,数,*,*,*,*,２,ニ,ニ
６	名詞,数,*,*,*,*,６,ロク,ロク
％	名詞,接尾,助数詞,*,*,*,％,パーセント,パーセント
と	助詞,格助詞,一般,*,*,*,と,ト,ト
なっ	動詞,自立,*,*,五段・ラ行,連用タ接続,なる,ナッ,ナッ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
　	記号,空白,*,*,*,*,　,　,　
一方	接続詞,*,*,*,*,*,一方,イッポウ,イッポー
、	記号,読点,*,*,*,*,、,、,、
東海	名詞,固有名詞,地域,一般,*,*,東海,トウカイ,トーカイ
地震	名詞,一般,*,*,*,*,地震,ジシン,ジシン
で	助詞,格助詞,一般,*,*,*,で,デ,デ
大きく	形容詞,自立,*,*,形容詞・イ段,連用テ接続,大きい,オオキク,オーキク
揺れる	動詞,自立,*,*,一段,基本形,揺れる,ユレル,ユレル
と	助詞,格助詞,引用,*,*,*,と,ト,ト
予想	名詞,サ変接続,*,*,*,*,予想,ヨソウ,ヨソー
さ	動詞,自立,*,*,サ変・スル,未然レル接続,する,サ,サ
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
い	動詞,非自立,*,*,一段,連用形,いる,イ,イ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
静岡	名詞,固有名詞,地域,一般,*,*,静岡,シズオカ,シズオカ
市	名詞,接尾,地域,*,*,*,市,シ,シ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
６	名詞,数,*,*,*,*,６,ロク,ロク
５	名詞,数,*,*,*,*,５,ゴ,ゴ
％	名詞,接尾,助数詞,*,*,*,％,パーセント,パーセント
と	助詞,格助詞,引用,*,*,*,と,ト,ト
依然	副詞,一般,*,*,*,*,依然,イゼン,イゼン
高い	形容詞,自立,*,*,形容詞・アウオ段,基本形,高い,タカイ,タカイ
が	助詞,接続助詞,*,*,*,*,が,ガ,ガ
、	記号,読点,*,*,*,*,、,、,、
昨年	名詞,副詞可能,*,*,*,*,昨年,サクネン,サクネン
より	助詞,格助詞,一般,*,*,*,より,ヨリ,ヨリ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
２	名詞,数,*,*,*,*,２,ニ,ニ
５	名詞,数,*,*,*,*,５,ゴ,ゴ
ポイント	名詞,接尾,助数詞,*,*,*,ポイント,ポイント,ポイント
低下	名詞,サ変接続,*,*,*,*,低下,テイカ,テイカ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
また	接続詞,*,*,*,*,*,また,マタ,マタ
、	記号,読点,*,*,*,*,、,、,、
九州	名詞,固有名詞,地域,一般,*,*,九州,キュウシュウ,キューシュー
地方	名詞,一般,*,*,*,*,地方,チホウ,チホー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
活	名詞,一般,*,*,*,*,活,カツ,カツ
断層	名詞,一般,*,*,*,*,断層,ダンソウ,ダンソー
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
地震	名詞,一般,*,*,*,*,地震,ジシン,ジシン
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
起こす	動詞,自立,*,*,五段・サ行,基本形,起こす,オコス,オコス
可能	名詞,形容動詞語幹,*,*,*,*,可能,カノウ,カノー
性	名詞,接尾,一般,*,*,*,性,セイ,セイ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
再	接頭詞,名詞接続,*,*,*,*,再,サイ,サイ
検討	名詞,サ変接続,*,*,*,*,検討,ケントウ,ケントー
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
結果	名詞,副詞可能,*,*,*,*,結果,ケッカ,ケッカ
、	記号,読点,*,*,*,*,、,、,、
九州	名詞,固有名詞,地域,一般,*,*,九州,キュウシュウ,キューシュー
地方	名詞,一般,*,*,*,*,地方,チホウ,チホー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
確率	名詞,一般,*,*,*,*,確率,カクリツ,カクリツ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
全体	名詞,副詞可能,*,*,*,*,全体,ゼンタイ,ゼンタイ
的	名詞,接尾,形容動詞語幹,*,*,*,的,テキ,テキ
に	助詞,副詞化,*,*,*,*,に,ニ,ニ
上昇	名詞,サ変接続,*,*,*,*,上昇,ジョウショウ,ジョーショー
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
　	記号,空白,*,*,*,*,　,　,　
予測	名詞,サ変接続,*,*,*,*,予測,ヨソク,ヨソク
地図	名詞,一般,*,*,*,*,地図,チズ,チズ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
詳しい	形容詞,自立,*,*,形容詞・イ段,基本形,詳しい,クワシイ,クワシイ
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
防災	名詞,サ変接続,*,*,*,*,防災,ボウサイ,ボーサイ
科学	名詞,一般,*,*,*,*,科学,カガク,カガク
技術	名詞,一般,*,*,*,*,技術,ギジュツ,ギジュツ
研究所	名詞,一般,*,*,*,*,研究所,ケンキュウジョ,ケンキュージョ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
ウェブサイト	名詞,一般,*,*,*,*,*
（	記号,括弧開,*,*,*,*,（,（,（
http	名詞,固有名詞,組織,*,*,*,*
://	名詞,サ変接続,*,*,*,*,*
www	名詞,一般,*,*,*,*,*
.	名詞,サ変接続,*,*,*,*,*
j	名詞,一般,*,*,*,*,*
-	名詞,サ変接続,*,*,*,*,*
shis	名詞,一般,*,*,*,*,*
.	名詞,サ変接続,*,*,*,*,*
bosai	名詞,一般,*,*,*,*,*
.	名詞,サ変接続,*,*,*,*,*
go	名詞,一般,*,*,*,*,*
.	名詞,サ変接続,*,*,*,*,*
jp	名詞,一般,*,*,*,*,*
/）	名詞,サ変接続,*,*,*,*,*
で	助詞,格助詞,一般,*,*,*,で,デ,デ
確認	名詞,サ変接続,*,*,*,*,確認,カクニン,カクニン
できる	動詞,自立,*,*,一段,基本形,できる,デキル,デキル
。	記号,句点,*,*,*,*,。,。,。
（	記号,括弧開,*,*,*,*,（,（,（
2013	名詞,数,*,*,*,*,*
年	名詞,接尾,助数詞,*,*,*,年,ネン,ネン
12	名詞,数,*,*,*,*,*
月	名詞,一般,*,*,*,*,月,ツキ,ツキ
20	名詞,数,*,*,*,*,*
日	名詞,接尾,助数詞,*,*,*,日,ニチ,ニチ
23	名詞,数,*,*,*,*,*
時	名詞,接尾,助数詞,*,*,*,時,ジ,ジ
07	名詞,数,*,*,*,*,*
分	名詞,接尾,助数詞,*,*,*,分,フン,フン
  	記号,一般,*,*,*,*,*
読売新聞	名詞,固有名詞,組織,*,*,*,読売新聞,ヨミウリシンブン,ヨミウリシンブン
）	記号,括弧閉,*,*,*,*,）,）,）
最新	名詞,一般,*,*,*,*,最新,サイシン,サイシン
主要	名詞,形容動詞語幹,*,*,*,*,主要,シュヨウ,シュヨー
ニュース	名詞,一般,*,*,*,*,ニュース,ニュース,ニュース
10	名詞,数,*,*,*,*,*
本	名詞,接尾,助数詞,*,*,*,本,ホン,ホン
 	記号,一般,*,*,*,*,*
:	名詞,サ変接続,*,*,*,*,*
 	記号,一般,*,*,*,*,*
YOMIURI	名詞,固有名詞,組織,*,*,*,*
ONLINE	名詞,一般,*,*,*,*,*
トップ	名詞,一般,*,*,*,*,トップ,トップ,トップ
EOS
"
"都知事	名詞,一般,*,*,*,*,都知事,トチジ,トチジ
候補	名詞,一般,*,*,*,*,候補,コウホ,コーホ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
首相	名詞,一般,*,*,*,*,首相,シュショウ,シュショー
「	記号,括弧開,*,*,*,*,「,「,「
世界	名詞,一般,*,*,*,*,世界,セカイ,セカイ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
発信	名詞,サ変接続,*,*,*,*,発信,ハッシン,ハッシン
力	名詞,接尾,一般,*,*,*,力,リョク,リョク
ある	動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル
