の	助詞,連体化,*,*,*,*,の,ノ,ノ
姿	名詞,一般,*,*,*,*,姿,スガタ,スガタ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
確認	名詞,サ変接続,*,*,*,*,確認,カクニン,カクニン
でき	動詞,自立,*,*,一段,未然形,できる,デキ,デキ
なかっ	助動詞,*,*,*,特殊・ナイ,連用タ接続,ない,ナカッ,ナカッ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
付近	名詞,一般,*,*,*,*,付近,フキン,フキン
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
航行	名詞,サ変接続,*,*,*,*,航行,コウコウ,コーコー
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
い	動詞,非自立,*,*,一段,連用形,いる,イ,イ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
タンカー	名詞,一般,*,*,*,*,タンカー,タンカー,タンカー
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
午後	名詞,副詞可能,*,*,*,*,午後,ゴゴ,ゴゴ
３	名詞,数,*,*,*,*,３,サン,サン
時	名詞,接尾,助数詞,*,*,*,時,ジ,ジ
５	名詞,数,*,*,*,*,５,ゴ,ゴ
０	名詞,数,*,*,*,*,０,ゼロ,ゼロ
分	名詞,接尾,助数詞,*,*,*,分,フン,フン
頃	名詞,接尾,副詞可能,*,*,*,頃,ゴロ,ゴロ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
呼びかけ	動詞,自立,*,*,一段,連用形,呼びかける,ヨビカケ,ヨビカケ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
が	助詞,接続助詞,*,*,*,*,が,ガ,ガ
応答	名詞,サ変接続,*,*,*,*,応答,オウトウ,オートー
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
なく	助動詞,*,*,*,特殊・ナイ,連用テ接続,ない,ナク,ナク
、	記号,読点,*,*,*,*,、,、,、
巡視	名詞,サ変接続,*,*,*,*,巡視,ジュンシ,ジュンシ
船	名詞,接尾,一般,*,*,*,船,セン,セン
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
確認	名詞,サ変接続,*,*,*,*,確認,カクニン,カクニン
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
向かっ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,向かう,ムカッ,ムカッ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
いる	動詞,非自立,*,*,一段,基本形,いる,イル,イル
。	記号,句点,*,*,*,*,。,。,。
　	記号,空白,*,*,*,*,　,　,　
４	名詞,数,*,*,*,*,４,ヨン,ヨン
管	名詞,接尾,一般,*,*,*,管,カン,カン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
発表	名詞,サ変接続,*,*,*,*,発表,ハッピョウ,ハッピョー
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
よる	動詞,自立,*,*,五段・ラ行,基本形,よる,ヨル,ヨル
と	助詞,接続助詞,*,*,*,*,と,ト,ト
、	記号,読点,*,*,*,*,、,、,、
乗船	名詞,サ変接続,*,*,*,*,乗船,ジョウセン,ジョーセン
者	名詞,接尾,一般,*,*,*,者,シャ,シャ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
東京	名詞,固有名詞,地域,一般,*,*,東京,トウキョウ,トーキョー
都	名詞,接尾,地域,*,*,*,都,ト,ト
文京	名詞,固有名詞,地域,一般,*,*,文京,ブンキョウ,ブンキョー
区	名詞,接尾,地域,*,*,*,区,ク,ク
の	助詞,連体化,*,*,*,*,の,ノ,ノ
男性	名詞,一般,*,*,*,*,男性,ダンセイ,ダンセイ
（	記号,括弧開,*,*,*,*,（,（,（
６	名詞,数,*,*,*,*,６,ロク,ロク
９	名詞,数,*,*,*,*,９,キュウ,キュー
）	記号,括弧閉,*,*,*,*,）,）,）
で	助詞,格助詞,一般,*,*,*,で,デ,デ
、	記号,読点,*,*,*,*,、,、,、
東京	名詞,固有名詞,地域,一般,*,*,東京,トウキョウ,トーキョー
・	記号,一般,*,*,*,*,・,・,・
小笠原諸島	名詞,固有名詞,地域,一般,*,*,小笠原諸島,オガサワラショトウ,オガサワラショトー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
父島	名詞,固有名詞,地域,一般,*,*,父島,チチジマ,チチジマ
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ
和歌山	名詞,固有名詞,地域,一般,*,*,和歌山,ワカヤマ,ワカヤマ
県	名詞,接尾,地域,*,*,*,県,ケン,ケン
へ	助詞,格助詞,一般,*,*,*,へ,ヘ,エ
向かっ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,向かう,ムカッ,ムカッ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
い	動詞,非自立,*,*,一段,連用形,いる,イ,イ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
と	助詞,格助詞,引用,*,*,*,と,ト,ト
いう	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,イウ,イウ
。	記号,句点,*,*,*,*,。,。,。
（	記号,括弧開,*,*,*,*,（,（,（
2013	名詞,数,*,*,*,*,*
年	名詞,接尾,助数詞,*,*,*,年,ネン,ネン
12	名詞,数,*,*,*,*,*
月	名詞,一般,*,*,*,*,月,ツキ,ツキ
21	名詞,数,*,*,*,*,*
日	名詞,接尾,助数詞,*,*,*,日,ニチ,ニチ
02	名詞,数,*,*,*,*,*
時	名詞,接尾,助数詞,*,*,*,時,ジ,ジ
07	名詞,数,*,*,*,*,*
分	名詞,接尾,助数詞,*,*,*,分,フン,フン
  	記号,一般,*,*,*,*,*
読売新聞	名詞,固有名詞,組織,*,*,*,読売新聞,ヨミウリシンブン,ヨミウリシンブン
）	記号,括弧閉,*,*,*,*,）,）,）
最新	名詞,一般,*,*,*,*,最新,サイシン,サイシン
主要	名詞,形容動詞語幹,*,*,*,*,主要,シュヨウ,シュヨー
ニュース	名詞,一般,*,*,*,*,ニュース,ニュース,ニュース
10	名詞,数,*,*,*,*,*
本	名詞,接尾,助数詞,*,*,*,本,ホン,ホン
 	記号,一般,*,*,*,*,*
:	名詞,サ変接続,*,*,*,*,*
 	記号,一般,*,*,*,*,*
YOMIURI	名詞,固有名詞,組織,*,*,*,*
ONLINE	名詞,一般,*,*,*,*,*
トップ	名詞,一般,*,*,*,*,トップ,トップ,トップ
EOS
"
"ＮＨＫ	名詞,固有名詞,組織,*,*,*,ＮＨＫ,エヌエイチケイ,エヌエイチケイ
新	接頭詞,名詞接続,*,*,*,*,新,シン,シン
会長	名詞,一般,*,*,*,*,会長,カイチョウ,カイチョー
　	記号,空白,*,*,*,*,　,　,　
偏り	名詞,一般,*,*,*,*,偏り,カタヨリ,カタヨリ
なき	形容詞,自立,*,*,形容詞・アウオ段,体言接続,ない,ナキ,ナキ
番組	名詞,一般,*,*,*,*,番組,バングミ,バングミ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
責任	名詞,一般,*,*,*,*,責任,セキニン,セキニン
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
果たせ	動詞,自立,*,*,一段,連用形,果たせる,ハタセ,ハタセ
（	記号,括弧開,*,*,*,*,（,（,（
12	名詞,数,*,*,*,*,*
月	名詞,一般,*,*,*,*,月,ツキ,ツキ
21	名詞,数,*,*,*,*,*
日	名詞,接尾,助数詞,*,*,*,日,ニチ,ニチ
付	名詞,接尾,一般,*,*,*,付,ヅケ,ズケ
・	記号,一般,*,*,*,*,・,・,・
読売	名詞,固有名詞,組織,*,*,*,読売,ヨミウリ,ヨミウリ
社説	名詞,一般,*,*,*,*,社説,シャセツ,シャセツ
）	記号,括弧閉,*,*,*,*,）,）,）
　	記号,空白,*,*,*,*,　,　,　
中立	名詞,サ変接続,*,*,*,*,中立,チュウリツ,チューリツ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
公正	名詞,形容動詞語幹,*,*,*,*,公正,コウセイ,コーセイ
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
番組	名詞,一般,*,*,*,*,番組,バングミ,バングミ
作り	名詞,接尾,一般,*,*,*,作り,ヅクリ,ズクリ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
推進	名詞,サ変接続,*,*,*,*,推進,スイシン,スイシン
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
、	記号,読点,*,*,*,*,、,、,、
公共	名詞,一般,*,*,*,*,公共,コウキョウ,コーキョー
放送	名詞,サ変接続,*,*,*,*,放送,ホウソウ,ホーソー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
トップ	名詞,一般,*,*,*,*,トップ,トップ,トップ
として	助詞,格助詞,連語,*,*,*,として,トシテ,トシテ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
責任	名詞,一般,*,*,*,*,責任,セキニン,セキニン
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
果たし	動詞,自立,*,*,五段・サ行,連用形,果たす,ハタシ,ハタシ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
ほしい	形容詞,非自立,*,*,形容詞・イ段,基本形,ほしい,ホシイ,ホシイ
。	記号,句点,*,*,*,*,。,。,。
　	記号,空白,*,*,*,*,　,　,　
ＮＨＫ	名詞,固有名詞,組織,*,*,*,ＮＨＫ,エヌエイチケイ,エヌエイチケイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
経営	名詞,サ変接続,*,*,*,*,経営,ケイエイ,ケイエイ
委員	名詞,一般,*,*,*,*,委員,イイン,イイン
会	名詞,接尾,一般,*,*,*,会,カイ,カイ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
松本	名詞,固有名詞,人名,姓,*,*,松本,マツモト,マツモト
正之	名詞,固有名詞,人名,名,*,*,正之,マサユキ,マサユキ
会長	名詞,一般,*,*,*,*,会長,カイチョウ,カイチョー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
後任	名詞,一般,*,*,*,*,後任,コウニン,コーニン
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
籾井	名詞,固有名詞,人名,姓,*,*,籾井,モミイ,モミイ
勝人	名詞,固有名詞,人名,名,*,*,勝人,マサト,マサト
氏	名詞,接尾,人名,*,*,*,氏,シ,シ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
選出	名詞,サ変接続,*,*,*,*,選出,センシュツ,センシュツ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
籾井	名詞,固有名詞,人名,姓,*,*,籾井,モミイ,モミイ
氏	名詞,接尾,人名,*,*,*,氏,シ,シ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
三井物産	名詞,固有名詞,組織,*,*,*,三井物産,ミツイブッサン,ミツイブッサン
で	助詞,格助詞,一般,*,*,*,で,デ,デ
副	接頭詞,名詞接続,*,*,*,*,副,フク,フク
社長	名詞,一般,*,*,*,*,社長,シャチョウ,シャチョー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
務め	動詞,自立,*,*,一段,連用形,務める,ツトメ,ツトメ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
後	名詞,非自立,副詞可能,*,*,*,後,ノチ,ノチ
、	記号,読点,*,*,*,*,、,、,、
情報	名詞,一般,*,*,*,*,情報,ジョウホウ,ジョーホー
システム	名詞,一般,*,*,*,*,システム,システム,システム
会社	名詞,一般,*,*,*,*,会社,カイシャ,カイシャ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン
ユニシス	名詞,固有名詞,組織,*,*,*,ユニシス,ユニシス,ユニシス
で	助詞,格助詞,一般,*,*,*,で,デ,デ
社長	名詞,一般,*,*,*,*,社長,シャチョウ,シャチョー
など	助詞,副助詞,*,*,*,*,など,ナド,ナド
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
歴任	名詞,サ変接続,*,*,*,*,歴任,レキニン,レキニン
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
経済	名詞,一般,*,*,*,*,経済,ケイザイ,ケイザイ
人	名詞,接尾,一般,*,*,*,人,ジン,ジン
だ	助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ
。	記号,句点,*,*,*,*,。,。,。
　	記号,空白,*,*,*,*,　,　,　
民間	名詞,一般,*,*,*,*,民間,ミンカン,ミンカン
出身	名詞,一般,*,*,*,*,出身,シュッシン,シュッシン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
会長	名詞,一般,*,*,*,*,会長,カイチョウ,カイチョー
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
３	名詞,数,*,*,*,*,３,サン,サン
代	名詞,接尾,助数詞,*,*,*,代,ダイ,ダイ
連続	名詞,サ変接続,*,*,*,*,連続,レンゾク,レンゾク
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
ある	助動詞,*,*,*,五段・ラ行アル,基本形,ある,アル,アル
。	記号,句点,*,*,*,*,。,。,。
企業	名詞,一般,*,*,*,*,企業,キギョウ,キギョー
で	助詞,格助詞,一般,*,*,*,で,デ,デ
培っ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,培う,ツチカッ,ツチカッ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
経営	名詞,サ変接続,*,*,*,*,経営,ケイエイ,ケイエイ
手腕	名詞,一般,*,*,*,*,手腕,シュワン,シュワン
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
存分	名詞,一般,*,*,*,*,存分,ゾンブン,ゾンブン
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
発揮	名詞,サ変接続,*,*,*,*,発揮,ハッキ,ハッキ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
、	記号,読点,*,*,*,*,、,、,、
ＮＨＫ	名詞,固有名詞,組織,*,*,*,ＮＨＫ,エヌエイチケイ,エヌエイチケイ
改革	名詞,サ変接続,*,*,*,*,改革,カイカク,カイカク
の	助詞,連体化,*,*,*,*,の,ノ,ノ
実効	名詞,一般,*,*,*,*,実効,ジッコウ,ジッコー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
上げる	動詞,自立,*,*,一段,基本形,上げる,アゲル,アゲル
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
求め	動詞,自立,*,*,一段,未然形,求める,モトメ,モトメ
られる	動詞,接尾,*,*,一段,基本形,られる,ラレル,ラレル
。	記号,句点,*,*,*,*,。,。,。
　	記号,空白,*,*,*,*,　,　,　
松本	名詞,固有名詞,地域,一般,*,*,松本,マツモト,マツモト
会長	名詞,一般,*,*,*,*,会長,カイチョウ,カイチョー
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
受信	名詞,サ変接続,*,*,*,*,受信,ジュシン,ジュシン
料	名詞,接尾,一般,*,*,*,料,リョウ,リョー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
値下げ	名詞,サ変接続,*,*,*,*,値下げ,ネサゲ,ネサゲ
や	助詞,並立助詞,*,*,*,*,や,ヤ,ヤ
職員	名詞,一般,*,*,*,*,職員,ショクイン,ショクイン
給与	名詞,サ変接続,*,*,*,*,給与,キュウヨ,キューヨ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
削減	名詞,サ変接続,*,*,*,*,削減,サクゲン,サクゲン
といった	助詞,格助詞,連語,*,*,*,といった,トイッタ,トイッタ
改革	名詞,サ変接続,*,*,*,*,改革,カイカク,カイカク
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
取り組ん	動詞,自立,*,*,五段・マ行,連用タ接続,取り組む,トリクン,トリクン
だ	助動詞,*,*,*,特殊・タ,基本形,だ,ダ,ダ
点	名詞,非自立,一般,*,*,*,点,テン,テン
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
評価	名詞,サ変接続,*,*,*,*,評価,ヒョウカ,ヒョーカ
できる	動詞,自立,*,*,一段,基本形,できる,デキル,デキル
。	記号,句点,*,*,*,*,。,。,。
　	記号,空白,*,*,*,*,　,　,　
ただ	接続詞,*,*,*,*,*,ただ,タダ,タダ
、	記号,読点,*,*,*,*,、,、,、
民放	名詞,一般,*,*,*,*,民放,ミンポウ,ミンポー
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
比べ	動詞,自立,*,*,一段,連用形,比べる,クラベ,クラベ
、	記号,読点,*,*,*,*,、,、,、
要員	名詞,一般,*,*,*,*,要員,ヨウイン,ヨーイン
削減	名詞,サ変接続,*,*,*,*,削減,サクゲン,サクゲン
や	助詞,並立助詞,*,*,*,*,や,ヤ,ヤ
制作	名詞,サ変接続,*,*,*,*,制作,セイサク,セイサク
費	名詞,接尾,一般,*,*,*,費,ヒ,ヒ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
使い方	名詞,一般,*,*,*,*,使い方,ツカイカタ,ツカイカタ
など	助詞,副助詞,*,*,*,*,など,ナド,ナド
で	助詞,格助詞,一般,*,*,*,で,デ,デ
ＮＨＫ	名詞,固有名詞,組織,*,*,*,ＮＨＫ,エヌエイチケイ,エヌエイチケイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
合理	名詞,一般,*,*,*,*,合理,ゴウリ,ゴーリ
化	名詞,接尾,サ変接続,*,*,*,化,カ,カ
努力	名詞,サ変接続,*,*,*,*,努力,ドリョク,ドリョク
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
まだ	副詞,助詞類接続,*,*,*,*,まだ,マダ,マダ
甘い	形容詞,自立,*,*,形容詞・アウオ段,基本形,甘い,アマイ,アマイ
。	記号,句点,*,*,*,*,。,。,。
籾井	名詞,固有名詞,人名,姓,*,*,籾井,モミイ,モミイ
氏	名詞,接尾,人名,*,*,*,氏,シ,シ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
コスト	名詞,一般,*,*,*,*,コスト,コスト,コスト
意識	名詞,サ変接続,*,*,*,*,意識,イシキ,イシキ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
徹底	名詞,サ変接続,*,*,*,*,徹底,テッテイ,テッテイ
さ	動詞,自立,*,*,サ変・スル,未然レル接続,する,サ,サ
せ	動詞,接尾,*,*,一段,連用形,せる,セ,セ
、	記号,読点,*,*,*,*,、,、,、
肥大	名詞,サ変接続,*,*,*,*,肥大,ヒダイ,ヒダイ
化	名詞,接尾,サ変接続,*,*,*,化,カ,カ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
組織	名詞,サ変接続,*,*,*,*,組織,ソシキ,ソシキ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
見直し	名詞,一般,*,*,*,*,見直し,ミナオシ,ミナオシ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
図る	動詞,自立,*,*,五段・ラ行,基本形,図る,ハカル,ハカル
べき	助動詞,*,*,*,文語・ベシ,体言接続,べし,ベキ,ベキ
だ	助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ
。	記号,句点,*,*,*,*,。,。,。
　	記号,空白,*,*,*,*,　,　,　
ＮＨＫ	名詞,固有名詞,組織,*,*,*,ＮＨＫ,エヌエイチケイ,エヌエイチケイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
収入	名詞,一般,*,*,*,*,収入,シュウニュウ,シューニュー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
９	名詞,数,*,*,*,*,９,キュウ,キュー
割	名詞,接尾,助数詞,*,*,*,割,ワリ,ワリ
超	名詞,接尾,一般,*,*,*,超,チョウ,チョー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
占める	動詞,自立,*,*,一段,基本形,占める,シメル,シメル
受信	名詞,サ変接続,*,*,*,*,受信,ジュシン,ジュシン
料	名詞,接尾,一般,*,*,*,料,リョウ,リョー
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
、	記号,読点,*,*,*,*,、,、,、
支払っ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,支払う,シハラッ,シハラッ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
い	動詞,非自立,*,*,一段,未然形,いる,イ,イ
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ
